iter	Passed	Remaining
846	9295	1679
847	9303	1667
848	9314	1656
849	9323	1645
850	9331	1633
851	9340	1622
852	9348	1611
853	9358	1599
854	9366	1588
855	9375	1577
856	9383	1565
857	9393	1554
858	9402	1543
859	9413	1532
860	9423	1521
861	9431	1509
862	9442	1498
863	9453	1488
864	9461	1476
865	9470	1465
866	9478	1454
867	9488	1442
868	9496	1431
869	9506	1420
870	9513	1409
871	9525	1398
872	9537	1387
873	9545	1376
874	9554	1364
875	9562	1353
876	9572	1342
877	9580	1331
878	9589	1320
879	9597	1308
880	9606	1297
881	9614	1286
882	9624	1275
883	9634	1264
884	9642	1252
885	9652	1241
886	9660	1230
887	9669	1219
888	9677	1208
889	9686	1197
890	9694	1185
891	9703	1174
892	9712	1163
893	9720	1152
894	9729	1141
895	9739	1130
896	9749	1119
897	9757	1108
898	9766	1097
899	9774	1086
900	9783	1074
901	9791	1063
902	9800	1052
903	9808	1041
904	9817	1030
905	9825	1019
906	9835	1008
907	9843	997
908	9852	986
909	9861	975
910	9871	964
911	9881	953
912	9888	942
913	9898	931
914	9906	920
915	9917	909
916	9927	898
917	9935	887
918	9949	876
919	9957	865
920	9966	854
921	9975	843
922	9983	832
923	9993	821
924	10003	811
925	10012	800
926	10019	789
927	10030	778
928	10038	767
929	10048	756
930	10058	745
931	10066	734
932	10075	723
933	10083	712
934	10093	701
935	10102	690
936	10110	679
937	10119	668
938	10129	658
939	10137	647
940	10146	636
941	10155	625
942	10165	614
943	10174	603
944	10182	592
945	10193	581
946	10201	570
947	10211	560
948	10224	549
949	10239	538
950	10248	528
951	10262	517
952	10278	506
953	10292	496
954	10304	485
955	10316	474
956	10331	464
957	10348	453
958	10362	443
959	10382	432
960	10395	421
961	10409	411
962	10426	400
963	10442	389
964	10458	379
965	10472	368
966	10486	357
967	10498	347
968	10508	336
969	10523	325
970	10538	314
971	10554	304
972	10567	293
973	10582	282
974	10598	271
975	10612	260
976	10626	250
977	10641	239
978	10656	228
979	10673	217
980	10684	206
981	10698	196
982	10714	185
983	10728	174
984	10745	163
985	10759	152
986	10773	141
987	10789	131
988	10804	120
989	10819	109
990	10833	98
991	10848	87
992	10863	76
993	10879	65
994	10892	54
995	10904	43
996	10918	32
997	10933	21
998	10951	10
999	10967	0
